國民中學校別資料																							
102 學年度 SY2013-2014																							
縣市代碼	縣市名稱	學校代碼	學校名稱	班級數	7年級	8年級	9年級	學生數	男學生	女學生	7年級男	7年級女	8年級男	8年級女	9年級男	9年級女	上學年畢業生	上學年男畢業生	上學年女畢業生	男專任教師	女專任教師	男職員	女職員
04	新竹縣	044518	縣立北埔國中	11	4	4	3	288	146	142	53	45	48	55	45	42	100	47	53	6	19	-	5
04	新竹縣	044519	縣立峨眉國中	4	1	2	1	79	48	31	17	7	17	14	14	10	30	15	15	4	8	1	3
04	新竹縣	044521	縣立新湖國中	31	11	10	10	908	489	419	183	131	162	144	144	144	361	199	162	22	48	-	10
04	新竹縣	044522	縣立中正國中	12	4	4	4	346	186	160	68	49	57	57	61	54	121	66	55	7	28	2	3
04	新竹縣	044523	縣立五峰國中	5	2	1	2	92	54	38	15	18	16	10	23	10	33	18	15	4	9	3	1
04	新竹縣	044524	縣立尖石國中	10	4	3	3	242	124	118	39	46	33	40	52	32	61	31	30	13	12	2	2
04	新竹縣	044525	縣立忠孝國中	34	12	12	10	"1,036"	519	517	183	182	186	177	150	158	324	163	161	15	61	1	10
04	新竹縣	044526	縣立博愛國中	31	11	11	9	899	464	435	156	142	161	159	147	134	275	142	133	16	59	1	8
04	新竹縣	044527	縣立仁愛國中	41	14	13	14	"1,252"	639	613	213	207	209	188	217	218	455	247	208	20	77	1	10
04	新竹縣	044528	縣立自強國中	50	17	17	16	"1,492"	785	707	256	235	258	256	271	216	528	295	233	19	102	3	8
04	新竹縣	044529	縣立成功國中	48	17	16	15	"1,402"	736	666	231	257	253	216	252	193	366	188	178	23	93	1	8
05	苗栗縣	050314	國立卓蘭實驗高中附設國中部	19	6	7	6	516	276	240	88	86	106	78	82	76	189	100	89	-	-	-	-
05	苗栗縣	051302	私立君毅高中附設國中部	18	6	6	6	694	415	279	127	101	154	85	134	93	254	150	104	-	-	-	-
05	苗栗縣	051305	私立大成高中附設國中部	2	1	1	-	24	17	7	6	4	11	3	-	-	20	12	8	-	-	-	-
05	苗栗縣	051306	私立建台高中附設國中部	24	8	8	8	"1,128"	641	487	221	163	205	179	215	145	399	231	168	-	-	-	-
05	苗栗縣	051307	私立全人實驗高中附設國中部	3	1	1	1	23	13	10	3	1	5	3	5	6	12	8	4	-	-	-	-
05	苗栗縣	054308	縣立三義高中附設國中部	15	4	6	5	392	187	205	57	61	67	79	63	65	166	99	67	-	-	-	-
05	苗栗縣	054309	縣立苑裡高中附設國中部	45	15	15	15	"1,225"	593	632	200	184	202	226	191	222	435	228	207	-	-	-	-
05	苗栗縣	054317	縣立興華高中附設國中部	34	11	12	11	967	513	454	174	142	187	155	152	157	340	161	179	-	-	-	-
05	苗栗縣	054333	縣立大同高中附設國中部	9	3	3	3	239	121	118	46	29	36	39	39	50	78	44	34	-	-	-	-
05	苗栗縣	054501	縣立苗栗國中	20	6	7	7	403	208	195	68	52	74	72	66	71	150	76	74	19	40	2	5
05	苗栗縣	054502	縣立大倫國中	30	10	10	10	845	449	396	153	114	155	144	141	138	284	154	130	22	51	3	5
05	苗栗縣	054503	縣立明仁國中	51	17	17	17	"1,489"	748	741	244	256	242	241	262	244	500	245	255	42	77	2	9
05	苗栗縣	054504	縣立頭屋國中	10	4	3	3	228	120	108	37	48	39	36	44	24	70	34	36	12	14	-	2
05	苗栗縣	054505	縣立公館國中	40	13	14	13	"1,141"	568	573	180	197	201	190	187	186	385	205	180	30	64	1	8
05	苗栗縣	054506	縣立鶴岡國中	9	3	3	3	192	114	78	39	21	38	34	37	23	71	41	30	6	19	-	2
05	苗栗縣	054507	縣立文林國中	19	7	6	6	474	247	227	82	80	95	75	70	72	159	86	73	14	31	4	2
05	苗栗縣	054510	縣立致民國中	15	6	5	4	379	194	185	78	68	75	62	41	55	132	66	66	17	20	1	5
05	苗栗縣	054511	縣立通霄國中	24	8	8	8	615	299	316	97	105	100	97	102	114	198	99	99	25	33	3	4
05	苗栗縣	054512	縣立南和國中	6	2	2	2	125	71	54	20	20	20	15	31	19	36	18	18	6	7	1	2
05	苗栗縣	054513	縣立烏眉國中	10	4	3	3	218	121	97	49	31	39	37	33	29	69	42	27	5	19	-	3
05	苗栗縣	054514	縣立啟新國中	6	2	2	2	108	57	51	22	15	15	19	20	17	37	14	23	8	7	-	3
05	苗栗縣	054515	縣立西湖國中	6	2	2	2	149	78	71	27	29	25	20	26	22	44	26	18	7	8	1	2
05	苗栗縣	054516	縣立頭份國中	31	11	11	9	869	466	403	160	150	170	132	136	121	262	145	117	18	54	2	5
05	苗栗縣	054518	縣立文英國中	11	4	3	4	292	152	140	54	44	45	48	53	48	80	41	39	7	19	-	4
05	苗栗縣	054519	縣立竹南國中	44	16	15	13	"1,274"	627	647	221	234	200	247	206	166	402	196	206	35	68	-	7
05	苗栗縣	054520	縣立照南國中	51	17	18	16	"1,503"	802	701	262	216	274	267	266	218	506	259	247	35	78	-	10
05	苗栗縣	054521	縣立三灣國中	10	3	4	3	254	134	120	43	41	50	43	41	36	96	51	45	10	16	-	2
05	苗栗縣	054522	縣立南庄國中	9	3	3	3	217	127	90	47	29	39	33	41	28	81	44	37	13	11	2	2
05	苗栗縣	054523	縣立造橋國中	10	4	3	3	261	139	122	45	44	42	43	52	35	88	52	36	11	15	-	3
05	苗栗縣	054524	縣立大西國中	8	3	3	2	194	108	86	41	32	39	28	28	26	51	29	22	6	12	2	1
05	苗栗縣	054525	縣立後龍國中	12	4	5	3	303	154	149	53	48	63	63	38	38	125	73	52	8	19	1	3
05	苗栗縣	054526	縣立維真國中	30	10	10	10	801	400	401	134	147	134	130	132	124	285	148	137	24	49	2	6
05	苗栗縣	054527	縣立大湖國中	10	3	4	3	264	132	132	33	56	55	35	44	41	90	49	41	10	14	1	4
05	苗栗縣	054528	縣立南湖國中	6	2	2	2	163	82	81	30	29	27	26	25	26	46	24	22	8	10	-	3
05	苗栗縣	054529	縣立獅潭國中	3	1	1	1	67	38	29	12	10	13	9	13	10	18	8	10	1	8	-	3
05	苗栗縣	054531	縣立泰安國中(小)	3	1	1	1	32	21	11	6	2	3	4	12	5	10	10	-	3	6	1	3
05	苗栗縣	054532	縣立建國國中	49	17	16	16	"1,390"	714	676	242	225	250	210	222	241	442	237	205	37	69	1	8
05	苗栗縣	054534	縣立福興武術國中(小)	6	2	2	2	88	70	18	27	7	26	4	17	7	-	-	-	5	9	2	3
06	臺中市	061301	私立常春藤高中附設國中部	6	2	2	2	278	168	110	46	30	54	39	68	41	109	69	40	-	-	-	-
06	臺中市	061310	私立大明高中附設國中部	8	3	3	2	234	128	106	43	37	49	40	36	29	55	27	28	-	-	-	-
06	臺中市	061313	私立明道高中附設國中部	54	18	18	18	"2,996"	"1,764"	"1,232"	587	418	608	395	569	419	972	535	437	-	-	-	-
06	臺中市	061314	私立僑泰中學附設國中部	14	6	4	4	721	422	299	187	130	125	95	110	74	162	94	68	-	-	-	-
06	臺中市	061315	私立華盛頓高中附設國中部	15	5	5	5	794	465	329	152	112	158	104	155	113	250	139	111	-	-	-	-
06	臺中市	061317	私立弘文高中附設國中部	33	11	11	11	"1,677"	"1,015"	662	361	231	337	239	317	192	608	369	239	-	-	-	-
06	臺中市	061318	私立立人高中附設國中部	24	8	8	8	"1,247"	724	523	258	182	253	176	213	165	402	235	167	-	-	-	-
06	臺中市	064308	市立后綜高中附設國中部	34	13	11	10	955	484	471	174	156	165	168	145	147	289	151	138	-	-	-	-
06	臺中市	064324	市立大里高中附設國中部	25	9	8	8	763	381	382	122	133	127	132	132	117	252	131	121	-	-	-	-
06	臺中市	064328	市立新社高中附設國中部	25	9	9	7	712	377	335	126	127	135	114	116	94	242	125	117	-	-	-	-
06	臺中市	064336	市立長億高中附設國中部	33	11	12	10	"1,023"	513	510	184	163	166	186	163	161	300	133	167	-	-	-	-
06	臺中市	064342	市立中港高中附設國中部	38	13	13	12	"1,210"	657	553	207	188	228	192	222	173	420	212	208	-	-	-	-
06	臺中市	064501	市立豐原國中	52	18	18	16	"1,437"	731	706	256	253	243	207	232	246	583	277	306	41	82	1	10
06	臺中市	064502	市立豐東國中	75	25	25	25	"2,297"	"1,201"	"1,096"	389	354	397	368	415	374	817	408	409	51	116	1	13
06	臺中市	064503	市立豐南國中	75	25	25	25	"2,336"	"1,167"	"1,169"	360	379	395	392	412	398	805	409	396	52	119	4	10
06	臺中市	064504	市立潭子國中	32	11	11	10	952	495	457	152	147	184	159	159	151	289	144	145	22	53	3	6
06	臺中市	064505	市立大雅國中	62	21	21	20	"1,766"	887	879	286	288	302	300	299	291	612	301	311	52	98	-	10
06	臺中市	064506	市立神岡國中	26	9	9	8	778	395	383	129	131	133	134	133	118	268	150	118	16	45	3	6
06	臺中市	064507	市立后里國中	36	12	13	11	"1,045"	546	499	185	161	176	190	185	148	369	180	189	28	53	2	8
06	臺中市	064509	市立外埔國中	26	10	8	8	703	382	321	136	130	119	94	127	97	234	125	109	20	40	1	7
06	臺中市	064510	市立大甲國中	62	23	21	18	"1,774"	899	875	316	317	319	285	264	273	644	331	313	47	98	4	6
06	臺中市	064511	市立日南國中	36	12	12	12	"1,055"	552	503	177	162	178	166	197	175	382	207	175	25	57	1	9
06	臺中市	064512	市立大安國中	13	4	5	4	344	169	175	51	48	67	61	51	66	106	50	56	10	19	-	7
06	臺中市	064513	市立清水國中	76	26	26	24	"2,262"	"1,151"	"1,111"	388	369	407	381	356	361	816	444	372	50	106	1	11
06	臺中市	064514	市立清泉國中	22	8	8	6	543	294	249	93	85	109	83	92	81	217	122	95	22	33	5	2
06	臺中市	064515	市立沙鹿國中	60	19	20	21	"1,749"	932	817	307	247	303	267	322	303	625	318	307	50	89	1	9
06	臺中市	064516	市立梧棲國中	31	11	11	9	868	430	438	132	142	158	172	140	124	295	142	153	31	41	3	6
06	臺中市	064517	市立龍井國中	24	8	9	7	681	347	334	112	115	120	124	115	95	233	128	105	19	36	1	7
06	臺中市	064518	市立四箴國中	36	13	12	11	986	473	513	161	178	164	164	148	171	335	174	161	22	62	3	5
06	臺中市	064519	市立大道國中	53	18	18	17	"1,507"	807	700	269	238	274	242	264	220	505	246	259	43	82	4	7
06	臺中市	064520	市立烏日國中	15	6	5	4	401	184	217	69	73	56	84	59	60	149	84	65	10	27	1	6
06	臺中市	064521	市立溪南國中	15	5	5	5	437	223	214	70	74	74	71	79	69	142	69	73	14	19	2	5
06	臺中市	064522	市立霧峰國中	26	9	9	8	722	369	353	126	109	117	124	126	120	224	104	120	16	45	1	7
06	臺中市	064523	市立光復國中(小)	31	11	11	9	988	523	465	189	174	182	163	152	128	320	177	143	26	43	2	7
06	臺中市	064525	市立太平國中	48	17	15	16	"1,396"	734	662	267	239	237	197	230	226	547	288	259	31	77	2	7
06	臺中市	064526	市立中平國中	44	15	16	13	"1,211"	627	584	206	183	216	212	205	189	470	261	209	38	64	2	6
06	臺中市	064527	市立石岡國中	22	7	7	8	600	337	263	106	72	99	87	132	104	229	111	118	15	36	2	6
06	臺中市	064529	市立東勢國中	50	16	17	17	"1,511"	777	734	223	235	290	237	264	262	530	258	272	42	74	4	7
06	臺中市	064530	市立東華國中	9	3	3	3	156	78	78	24	28	31	26	23	24	50	21	29	11	13	1	3
06	臺中市	064531	市立東新國中	12	4	4	4	223	116	107	35	36	42	40	39	31	75	45	30	6	24	3	3
06	臺中市	064532	市立成功國中	76	26	24	26	"2,199"	"1,122"	"1,077"	364	380	363	336	395	361	775	397	378	42	112	4	9
06	臺中市	064533	市立和平國中	6	2	2	2	69	33	36	10	13	12	16	11	7	21	13	8	8	7	2	1
06	臺中市	064534	市立北勢國中	21	7	7	7	604	351	253	108	82	122	80	121	91	174	96	78	14	35	2	5
06	臺中市	064535	市立鹿寮國中	31	11	11	9	926	472	454	157	159	176	146	139	149	299	151	148	21	49	1	7
06	臺中市	064537	市立光榮國中	81	27	28	26	"2,486"	"1,268"	"1,218"	386	398	467	393	415	427	856	442	414	61	128	-	14
06	臺中市	064538	市立潭秀國中	55	18	20	17	"1,633"	796	837	244	269	291	302	261	266	602	302	300	39	86	5	8
06	臺中市	064539	市立順天國中	45	15	15	15	"1,250"	640	610	222	201	227	188	191	221	376	204	172	29	73	2	8
06	臺中市	064540	市立清海國中	6	2	2	2	158	72	86	19	29	24	24	29	33	75	46	29	11	4	1	4
06	臺中市	064541	市立大華國中	68	23	23	22	"2,117"	"1,141"	976	412	322	352	337	377	317	733	385	348	51	104	1	11
06	臺中市	064543	市立新光國中	61	19	21	21	"1,841"	960	881	288	266	316	301	356	314	645	322	323	38	96	3	10
06	臺中市	064544	市立光正國中	32	11	11	10	938	475	463	150	170	160	155	165	138	323	171	152	24	48	1	7
06	臺中市	064545	市立豐陽國中	29	11	10	8	788	390	398	142	146	139	131	109	121	253	105	148	28	44	2	5
06	臺中市	064546	市立光德國中	48	16	16	16	"1,510"	784	726	264	228	265	254	255	244	480	236	244	39	70	1	11
06	臺中市	064547	市立立新國中	24	8	9	7	637	357	280	112	90	135	105	110	85	202	113	89	21	40	2	6
06	臺中市	064548	市立爽文國中	49	15	17	17	"1,488"	768	720	237	212	273	243	258	265	467	257	210	30	78	1	10
06	臺中市	064549	市立公明國中	12	4	4	4	303	172	131	54	35	61	51	57	45	104	53	51	10	21	1	3
06	臺中市	064550	市立龍津國中	27	10	9	8	743	374	369	133	133	125	125	116	111	213	106	107	22	42	2	5
06	臺中市	064551	市立神圳國中	27	9	9	9	748	372	376	104	125	134	118	134	133	289	139	150	20	48	2	5
06	臺中市	064552	市立梨山國中(小)	6	2	2	2	60	31	29	9	13	13	9	9	7	27	8	19	5	10	3	1
07	彰化縣	071311	私立精誠高中附設國中部	39	13	13	13	"2,076"	"1,255"	821	412	287	433	267	410	267	691	414	277	-	-	-	-
07	彰化縣	071317	私立文興高中附設國中部	13	5	4	4	564	316	248	122	88	99	77	95	83	178	106	72	-	-	-	-
07	彰化縣	074308	縣立彰化藝術高中附設國中部	13	4	5	4	316	182	134	60	38	63	46	59	50	128	71	57	-	-	-	-
07	彰化縣	074313	縣立二林高中附設國中部	54	20	18	16	"1,568"	814	754	295	268	276	268	243	218	524	275	249	-	-	-	-
07	彰化縣	074323	縣立和美高中附設國中部	66	22	22	22	"1,971"	986	985	333	310	343	338	310	337	727	336	391	-	-	-	-
07	彰化縣	074328	縣立田中高中附設國中部	49	17	16	16	"1,503"	785	718	259	250	253	220	273	248	463	210	253	-	-	-	-
07	彰化縣	074339	縣立成功高中附設國中部	37	10	14	13	"1,122"	592	530	140	143	231	195	221	192	451	251	200	-	-	-	-
07	彰化縣	074501	縣立北斗國中	41	15	14	12	"1,230"	625	605	229	207	210	212	186	186	410	212	198	32	62	2	8
07	彰化縣	074502	縣立鹿港國中	60	21	20	19	"1,860"	993	867	326	300	335	284	332	283	575	297	278	44	86	4	10
07	彰化縣	074503	縣立鹿鳴國中	31	11	11	9	916	474	442	158	164	163	149	153	129	318	157	161	33	36	3	5
07	彰化縣	074504	縣立線西國中	20	7	6	7	582	298	284	97	102	96	75	105	107	181	90	91	18	25	1	7
07	彰化縣	074505	縣立陽明國中	77	24	25	28	"2,333"	"1,189"	"1,144"	340	320	389	389	460	435	"1,061"	551	510	60	114	4	13
07	彰化縣	074506	縣立彰安國中	43	13	15	15	"1,217"	587	630	182	191	199	214	206	225	414	210	204	32	68	3	9
07	彰化縣	074507	縣立彰德國中	31	10	10	11	879	475	404	161	137	155	131	159	136	295	159	136	16	53	4	9
07	彰化縣	074509	縣立芬園國中	17	6	6	5	468	232	236	83	82	85	87	64	67	131	67	64	15	24	4	4
07	彰化縣	074510	縣立員林國中	55	19	19	17	"1,647"	857	790	274	269	321	270	262	251	543	282	261	38	81	1	12
07	彰化縣	074511	縣立明倫國中	39	13	13	13	"1,090"	579	511	177	164	201	182	201	165	372	184	188	27	63	3	10
07	彰化縣	074512	縣立萬興國中	8	3	3	2	190	102	88	39	24	34	31	29	33	67	45	22	5	15	2	5
07	彰化縣	074514	縣立竹塘國中	27	9	10	8	784	418	366	146	118	152	136	120	112	253	117	136	28	33	2	6
07	彰化縣	074515	縣立大城國中	15	5	5	5	417	215	202	72	68	61	69	82	65	153	78	75	15	21	3	5
07	彰化縣	074516	縣立草湖國中	17	5	6	6	468	269	199	78	71	91	66	100	62	162	85	77	13	26	1	7
07	彰化縣	074517	縣立芳苑國中	8	3	3	2	190	107	83	41	34	45	24	21	25	63	35	28	7	14	3	1
07	彰化縣	074518	縣立溪湖國中	58	21	19	18	"1,703"	907	796	317	274	307	266	283	256	508	267	241	53	76	1	12
07	彰化縣	074519	縣立埔鹽國中	26	9	9	8	712	372	340	138	108	123	115	111	117	241	117	124	25	31	2	8
07	彰化縣	074520	縣立埔心國中	23	8	8	7	658	347	311	106	110	130	101	111	100	213	109	104	20	31	1	8
07	彰化縣	074521	縣立福興國中	53	17	18	18	"1,573"	857	716	281	202	279	255	297	259	631	336	295	42	73	7	6
07	彰化縣	074522	縣立秀水國中	63	21	21	21	"1,888"	965	923	307	315	333	309	325	299	640	307	333	41	97	2	11
07	彰化縣	074524	縣立伸港國中	44	14	15	15	"1,349"	736	613	232	192	257	203	247	218	444	237	207	49	46	3	9
07	彰化縣	074525	縣立大村國中	25	9	8	8	725	355	370	121	111	112	131	122	128	314	163	151	23	33	2	7
07	彰化縣	074526	縣立花壇國中	33	12	11	10	910	446	464	151	154	146	169	149	141	362	181	181	28	46	2	11
07	彰化縣	074527	縣立永靖國中	45	16	15	14	"1,353"	718	635	249	215	239	210	230	210	482	274	208	39	57	2	11
07	彰化縣	074529	縣立二水國中	10	4	3	3	279	152	127	67	43	51	38	34	46	87	43	44	10	16	2	4
07	彰化縣	074530	縣立社頭國中	45	15	16	14	"1,379"	679	700	212	229	236	250	231	221	489	255	234	34	64	4	9
07	彰化縣	074531	縣立田尾國中	31	11	10	10	902	459	443	153	160	153	124	153	159	313	153	160	21	48	2	8
07	彰化縣	074532	縣立溪州國中	18	6	6	6	516	265	251	94	82	90	85	81	84	162	88	74	21	19	1	7
07	彰化縣	074533	縣立溪陽國中	12	4	4	4	340	167	173	56	53	57	56	54	64	118	58	60	10	19	1	6
07	彰化縣	074534	縣立埤頭國中	35	11	13	11	"1,005"	520	485	168	137	190	185	162	163	338	165	173	31	45	3	8
07	彰化縣	074535	縣立和群國中	30	10	11	9	839	441	398	152	129	157	156	132	113	278	152	126	24	42	4	5
07	彰化縣	074536	縣立大同國中	90	30	31	29	"2,723"	"1,396"	"1,327"	462	435	467	453	467	439	895	461	434	71	131	4	13
07	彰化縣	074537	縣立原斗國中	6	2	2	2	121	63	58	22	20	18	17	23	21	49	25	24	5	11	1	3
07	彰化縣	074538	縣立彰興國中	54	18	18	18	"1,839"	967	872	332	305	333	296	302	271	585	316	269	36	81	3	10
07	彰化縣	074540	縣立彰泰國中	67	23	24	20	"2,309"	"1,235"	"1,074"	404	408	485	346	346	320	635	320	315	37	108	1	10
07	彰化縣	074541	縣立信義國中(小)	16	6	5	5	448	237	211	89	73	85	68	63	70	97	53	44	12	25	2	7
08	南投縣	081311	私立五育高中附設國中部	1	-	-	1	5	3	2	-	-	-	-	3	2	9	6	3	-	-	-	-
08	南投縣	081312	私立三育高中附設國中部	6	2	2	2	150	95	55	30	13	34	22	31	20	68	43	25	-	-	-	-
08	南投縣	081313	私立弘明實驗高中國中部	7	3	2	2	164	92	72	39	26	23	26	30	20	34	24	10	-	-	-	-
08	南投縣	081314	私立普台中學國中部	21	7	8	6	706	422	284	144	99	168	102	110	83	192	105	87	-	-	-	-
08	南投縣	081502	私立均頭國中(小)	15	5	5	5	487	336	151	105	58	125	50	106	43	157	111	46	12	17	4	6
08	南投縣	084309	縣立旭光高中附設國中部	39	13	13	13	"1,272"	665	607	199	168	245	229	221	210	448	227	221	-	-	-	-
08	南投縣	084501	縣立南投國中	48	16	16	16	"1,425"	745	680	243	205	248	230	254	245	506	253	253	42	70	6	8
08	南投縣	084502	縣立南崗國中	43	16	15	12	"1,190"	588	602	193	229	220	183	175	190	419	232	187	41	55	2	9
08	南投縣	084503	縣立中興國中	61	20	22	19	"1,733"	937	796	307	267	321	295	309	234	622	321	301	44	92	3	10
08	南投縣	084504	縣立鳳鳴國中	6	2	2	2	117	65	52	23	21	21	24	21	7	48	25	23	9	5	-	4
08	南投縣	084505	縣立埔里國中	62	21	21	20	"1,844"	980	864	300	277	336	285	344	302	615	312	303	46	90	1	10
08	南投縣	084506	縣立大成國中	27	9	9	9	772	415	357	147	104	136	127	132	126	272	145	127	25	40	4	6
08	南投縣	084507	縣立宏仁國中	34	12	12	10	"1,059"	543	516	182	182	189	189	172	145	370	192	178	31	51	2	6
08	南投縣	084508	縣立草屯國中	54	19	19	16	"1,579"	821	758	278	244	282	280	261	234	559	281	278	38	83	1	10
08	南投縣	084510	縣立日新國中	13	4	5	4	373	212	161	63	45	79	67	70	49	116	64	52	11	18	2	7
08	南投縣	084511	縣立竹山國中	29	9	10	10	832	435	397	144	132	158	119	133	146	253	133	120	33	39	1	9
08	南投縣	084512	縣立延和國中	34	12	11	11	"1,008"	517	491	179	178	160	170	178	143	343	185	158	29	46	4	8
08	南投縣	084513	縣立社寮國中	6	2	2	2	118	52	66	19	19	12	23	21	24	38	19	19	6	8	-	5
08	南投縣	084514	縣立瑞竹國中	6	2	2	2	79	42	37	12	16	13	13	17	8	18	10	8	7	7	2	1
08	南投縣	084515	縣立集集國中	10	4	3	3	261	133	128	53	47	34	38	46	43	89	41	48	8	18	2	3
08	南投縣	084516	縣立名間國中	21	7	7	7	595	327	268	107	86	119	72	101	110	236	124	112	21	27	2	7
08	南投縣	084517	縣立三光國中	11	4	4	3	269	158	111	56	35	54	38	48	38	85	49	36	13	15	1	4
08	南投縣	084518	縣立鹿谷國中	9	3	3	3	214	99	115	26	37	42	38	31	40	72	36	36	12	14	2	4
08	南投縣	084519	縣立瑞峰國中	6	2	2	2	58	30	28	8	12	9	8	13	8	15	5	10	4	8	3	1
08	南投縣	084520	縣立中寮國中	8	3	3	2	172	95	77	34	34	39	24	22	19	59	26	33	7	10	2	4
08	南投縣	084521	縣立爽文國中	6	2	2	2	116	60	56	17	19	23	23	20	14	34	18	16	8	10	1	2
08	南投縣	084522	縣立魚池國中	9	3	3	3	233	122	111	44	35	42	39	36	37	67	32	35	5	19	-	5
08	南投縣	084523	縣立明潭國中	6	2	2	2	36	22	14	10	3	6	5	6	6	16	8	8	6	9	-	3
08	南投縣	084524	縣立國姓國中	11	3	4	4	286	159	127	50	37	56	45	53	45	90	38	52	13	15	4	4
08	南投縣	084525	縣立北梅國中	6	2	2	2	78	41	37	15	13	14	9	12	15	37	20	17	3	11	-	4
08	南投縣	084526	縣立北山國中	6	2	2	2	133	78	55	31	16	24	21	23	18	40	24	16	7	7	3	2
08	南投縣	084527	縣立水里國中	20	8	6	6	575	279	296	97	105	91	95	91	96	187	92	95	17	31	2	6
08	南投縣	084528	縣立民和國中	6	2	2	2	137	62	75	31	19	19	29	12	27	45	22	23	7	12	3	1
08	南投縣	084529	縣立信義國中	6	2	2	2	104	60	44	15	23	26	9	19	12	52	27	25	7	10	2	2
08	南投縣	084530	縣立同富國中	9	3	3	3	233	135	98	47	25	43	35	45	38	103	52	51	12	12	1	3
08	南投縣	084531	縣立仁愛國中	6	2	2	2	115	58	57	17	13	21	16	20	28	66	39	27	8	9	1	4
08	南投縣	084532	縣立營北國中	27	9	7	11	823	413	410	130	130	108	120	175	160	274	146	128	22	37	2	5
09	雲林縣	091307	私立永年高中附設國中部	18	6	6	6	766	502	264	181	93	161	97	160	74	247	175	72	-	-	-	-
09	雲林縣	091308	私立正心高中附設國中部	42	14	14	14	"1,828"	"1,055"	773	344	278	358	264	353	231	581	331	250	-	-	-	-
09	雲林縣	091311	私立文生高中附設國中部	6	2	2	2	282	167	115	62	37	50	40	55	38	53	32	21	-	-	-	-
09	雲林縣	091316	私立揚子高中附設國中部	18	6	7	5	816	521	295	168	115	199	111	154	69	263	164	99	-	-	-	-
09	雲林縣	091320	私立維多利亞高中附設國中部	6	2	2	2	142	79	63	23	25	28	17	28	21	46	19	27	-	-	-	-
09	雲林縣	091502	私立淵明國中	30	10	10	10	886	541	345	186	110	184	117	171	118	316	177	139	26	37	1	6
09	雲林縣	091503	私立東南國中(代用)	54	18	18	18	"1,609"	63	"1,546"	19	519	20	514	24	513	548	22	526	48	58	2	10
09	雲林縣	091505	私立福智國中	12	4	4	4	471	233	238	80	84	77	83	76	71	149	69	80	9	23	6	8
09	雲林縣	094301	縣立斗南高中附設國中部	37	12	12	13	"1,140"	562	578	205	176	188	215	169	187	379	203	176	-	-	-	-
09	雲林縣	094307	縣立麥寮高中附設國中部	42	14	15	13	"1,240"	661	579	223	185	252	206	186	188	452	239	213	-	-	-	-
09	雲林縣	094502	縣立東明國中	15	5	5	5	416	210	206	72	53	73	78	65	75	130	67	63	17	27	1	7
09	雲林縣	094503	縣立大埤國中	16	5	5	6	424	212	212	73	61	71	75	68	76	145	79	66	15	22	1	7
09	雲林縣	094504	縣立飛沙國中	11	4	4	3	282	156	126	55	50	52	43	49	33	92	43	49	8	19	3	1
09	雲林縣	094505	縣立四湖國中	10	3	4	3	251	146	105	52	36	59	32	35	37	104	49	55	8	18	1	3
09	雲林縣	094506	縣立水林國中	15	5	5	5	402	210	192	79	63	70	60	61	69	161	91	70	14	22	3	5
09	雲林縣	094508	縣立二崙國中	27	9	10	8	771	461	310	148	114	171	96	142	100	242	135	107	21	41	4	6
09	雲林縣	094509	縣立褒忠國中	10	3	3	4	240	141	99	33	35	49	37	59	27	85	45	40	13	10	1	2
09	雲林縣	094510	縣立莿桐國中	20	7	7	6	563	326	237	111	88	111	84	104	65	215	117	98	20	29	3	7
09	雲林縣	094511	縣立崙背國中	30	10	10	10	874	474	400	151	125	156	138	167	137	294	146	148	24	42	-	11
09	雲林縣	094512	縣立古坑國中	15	6	4	5	335	168	167	66	60	49	57	53	50	118	62	56	14	22	1	7
09	雲林縣	094513	縣立東勢國中	12	4	4	4	313	166	147	55	42	65	48	46	57	112	50	62	13	15	2	5
09	雲林縣	094514	縣立元長國中	12	4	4	4	310	170	140	64	43	49	52	57	45	135	72	63	13	17	2	5
09	雲林縣	094515	縣立斗六國中	68	23	23	22	"2,098"	"1,110"	988	364	318	381	336	365	334	718	396	322	55	97	-	14
09	雲林縣	094516	縣立雲林國中	42	14	15	13	"1,206"	612	594	194	190	229	227	189	177	426	203	223	30	67	2	12
09	雲林縣	094517	縣立虎尾國中	15	5	5	5	388	230	158	69	52	75	49	86	57	125	64	61	16	22	1	7
09	雲林縣	094518	縣立崇德國中	42	16	13	13	"1,286"	710	576	259	203	235	206	216	167	397	213	184	35	60	1	11
09	雲林縣	094519	縣立西螺國中	27	9	9	9	777	734	43	248	20	255	13	231	10	250	237	13	34	31	1	9
09	雲林縣	094520	縣立北港國中	28	9	9	10	772	410	362	118	107	140	131	152	124	304	148	156	25	39	2	8
09	雲林縣	094521	縣立建國國中	47	17	15	15	"1,419"	756	663	247	244	258	212	251	207	523	297	226	39	65	2	12
09	雲林縣	094522	縣立宜梧國中	7	2	2	3	167	93	74	16	24	30	26	47	24	53	28	25	9	11	-	3
09	雲林縣	094523	縣立口湖國中	12	4	4	4	297	148	149	53	44	51	62	44	43	98	40	58	13	16	3	4
09	雲林縣	094524	縣立臺西國中	15	5	5	5	490	244	246	77	82	87	83	80	81	165	83	82	19	17	3	5
09	雲林縣	094525	縣立土庫國中	31	11	11	9	912	472	440	168	145	170	151	134	144	280	138	142	29	40	2	9
09	雲林縣	094526	縣立蔦松國中	12	4	4	4	206	95	111	28	34	34	45	33	32	10	6	4	10	19	4	6
09	雲林縣	094527	縣立東和國中	13	4	4	5	357	178	179	51	59	60	60	67	60	152	76	76	12	19	-	8
